,correct,query,date1,task
27,False,"SELECT p.name FROM GHOSTS g, PLACES p WHERE p.id = g.place_id AND p.name = ""Arthur""",13/10/21 16:02:43,035
28,True,"SELECT p.name FROM GHOSTS g, PLACES p WHERE p.id = g.place_id AND g.name = ""Arthur""",13/10/21 16:02:56,035
29,True,SELECT g.name FROM ghosts g INNER JOIN places p ON g.place_id = p.id WHERE p.name = 'forest',13/10/21 16:04:32,036
30,True,SELECT name from ghosts,02/09/21 14:18:52,000
31,True,SELECT name from ghosts,02/09/21 14:20:17,001
32,True,"SELECT name, year from ghosts",02/09/21 14:20:35,002
33,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",02/09/21 14:21:05,003
34,True,SELECT name FROM ghosts WHERE year > 1800;,02/09/21 14:21:48,004
35,False,"SELECT name from ghosts where year between(1700, 1799);",02/09/21 14:22:35,005
36,True,SELECT name from ghosts where year < 1800 and year >= 1700,02/09/21 14:23:40,005
37,True,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,02/09/21 14:24:50,012
38,True,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,02/09/21 14:24:50,012
39,False,"select name from ghosts where year < 1700 and year >= 1600 order by year,name;",02/09/21 14:26:11,013
40,False,"select name from ghosts where year < 1700 and year >= 1600 order by year desc,name asc;",02/09/21 14:26:29,013
41,False,"select name, year from ghosts where year < 1700 and year >= 1600 order by year desc,name asc;",02/09/21 14:26:39,013
42,True,"select id, name, year from ghosts where year < 1700 and year >= 1600 order by year desc,name asc;",02/09/21 14:26:50,013
43,True,SELECT name from ghosts,17/09/21 12:15:50,000
44,True,SELECT name from ghosts,17/09/21 09:37:00,000
45,False,SELECT name FROM ghost,17/09/21 09:38:56,001
46,False,SELECT name FROM ghost,17/09/21 09:39:00,001
47,False,SELECT name FROM ghost,17/09/21 09:39:04,001
48,True,SELECT name from ghosts,17/09/21 09:39:21,001
49,True,"SELECT name, year from ghosts",17/09/21 09:41:22,002
50,False,"SELECT year WHERE FROM GHOSTS name = ""Sieglinde""",17/09/21 09:42:12,003
51,False,"SELECT year WHERE name = ""Sieglinde"" FROM GHOSTS",17/09/21 09:42:23,003
52,False,"SELECT year WHERE name IS ""Sieglinde"" FROM GHOSTS",17/09/21 09:42:44,003
53,False,"SELECT year WHERE name IS ""Sieglinde"" FROM GHOSTS",17/09/21 09:43:21,003
54,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",17/09/21 09:43:43,003
55,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",17/09/21 09:43:43,003
56,False,"select name from Ghosts where id in (2,5)",17/09/21 09:44:48,004
57,False,"select name from Ghosts where id in (2,5)",17/09/21 09:44:48,004
58,False,select name from Ghosts,17/09/21 09:45:41,004
59,False,select name from Ghosts where id=2,17/09/21 09:46:36,004
60,False,select name from Ghosts where id=2 or id=5,17/09/21 09:46:54,004
61,False,select name from Ghosts where id=2 or id=4,17/09/21 09:47:37,004
62,False,select name from Ghosts where id=2 or id=5,17/09/21 09:47:57,004
63,False,select name from Ghosts where id=2 or id=5,17/09/21 09:48:37,004
64,False,select name from Ghosts where id=2 or id=4,17/09/21 09:48:53,004
65,False,select name from Ghosts where id=2 or id=4,17/09/21 09:49:20,004
66,False,select name from Ghosts where id=2 or id=4,17/09/21 09:49:20,004
67,False,select name from Ghosts where id=2 or id=5,17/09/21 09:49:31,004
68,False,select name from Ghosts where where year > 1800,17/09/21 09:50:21,004
69,False,select name from Ghosts where where year > 1800,17/09/21 09:50:43,004
70,True,select name from Ghosts where year > 1800,17/09/21 09:50:52,004
71,True,select name from Ghosts where year >1700 and year <1800,17/09/21 09:51:59,005
72,False,select name from Gosts sorted by name asc,17/09/21 09:53:22,006
73,False,select name from Gosts sorte name asc,17/09/21 09:53:33,006
74,False,select name from Gosts order by name asc,17/09/21 09:53:52,006
75,True,select name from Ghosts order by name asc,17/09/21 09:54:01,006
76,False,select name from Ghosts order year desc,17/09/21 09:55:07,007
77,True,select name from Ghosts order by year desc,17/09/21 09:55:16,007
78,True,SELECT DISTINCT year FROM ghosts,17/09/21 09:56:33,008
79,False,select name from Ghosts order by year asc,17/09/21 09:57:23,009
80,False,select * from Ghosts order by year asc,17/09/21 09:57:49,009
81,True,"select * from Ghosts order by year, name asc",17/09/21 09:59:41,009
82,True,select distinct name from Ghosts where year = 1833,17/09/21 10:00:55,010
83,True,select distinct * from Ghosts where year = 1650,17/09/21 10:01:49,011
84,False,SELECT DISTINCT FROM Ghosts NAME WHERE YEAR='1650' ORDER BY NAME DESC,17/09/21 10:02:41,012
85,True,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,17/09/21 10:02:49,012
86,False,select * from Ghosts where year >1699 and year <1800 order by year desc name asc,17/09/21 10:06:22,013
87,False,select * from Ghosts where year >1699 and year <1800 order by year desc and name asc,17/09/21 10:06:48,013
88,False,select * from Ghosts where year >1699 and year <1800 order by year desc and name asc,17/09/21 10:06:50,013
89,False,select * from Ghosts where year >1699 and year <1800 order by year desc and name asc,17/09/21 10:06:51,013
90,True,"select * from Ghosts where year between 1599 and 1699 order by year desc, name asc",17/09/21 10:07:51,013
91,False,select name form ghosts where year = 1777 order by name asc,17/09/21 10:08:43,014
92,False,select name from ghosts where year = 1777 order by name asc,17/09/21 10:09:04,014
93,True,select distinct name from ghosts where year = 1777 order by name asc,17/09/21 10:09:28,014
94,True,"select * from  Ghosts where name = ""Veronika"" and Year between 1699 and 1799",17/09/21 10:10:39,015
95,False,select name form Wizards where skill < 4 order by skill ask,17/09/21 10:11:47,016
96,False,select name from Wizards where skill < 4 order by skill ask,17/09/21 10:11:57,016
97,True,select name from Wizards where skill < 4 order by skill asc,17/09/21 10:13:10,016
98,True,select name from Wizards where skill < 4 order by skill asc,17/09/21 10:13:19,016
99,False,select count name where year is between 1599 and 1699,17/09/21 10:14:16,017
100,False,select count name where year is between 1599 and 1699,17/09/21 10:14:30,017
101,False,select count name where year is between 1599 and 1699,17/09/21 10:14:31,017
102,False,select count name where year is between 1599 and 1699,17/09/21 10:14:32,017
103,False,select count name from Ghosts where year between 1599 and 1699,17/09/21 10:14:59,017
104,False,select count (name) from Ghosts where year between 1599 and 1699,17/09/21 10:15:20,017
105,True,select count (distinct name) from Ghosts where year between 1599 and 1699,17/09/21 10:16:24,017
106,False,select count distinct name from Ghosts where year between 1599 and 1699,17/09/21 10:16:35,017
107,True,select count (distinct name) from Ghosts where year between 1599 and 1699,17/09/21 10:17:22,017
108,False,SELECT MIN YEAR FROM GHOSTS WHERE (YEAR) BETWEEN '1700' AND '1800',17/09/21 10:24:32,018
109,True,SELECT MIN (YEAR) FROM GHOSTS WHERE YEAR BETWEEN '1700' AND '1800',17/09/21 10:25:04,018
110,False,select sum(murdered) from Ghosts where name = Siegfried,17/09/21 10:26:57,019
111,False,select sum(murdered) from Ghosts where name = Siegfried,17/09/21 10:27:13,019
112,True,"select sum(murdered) from Ghosts where name = ""Siegfried""",17/09/21 10:27:26,019
113,True,select max(year) from ghosts where year between 1600 and 1699,17/09/21 10:28:33,020
114,False,select count(name) from ghost where murdered >= 2,17/09/21 10:29:19,021
115,True,select count(name) from ghosts where murdered >= 2,17/09/21 10:29:30,021
116,False,SELECT COUNT (*) FROM GHOSTS WHERE YEAR BETWEEN 1700 1800 AND,17/09/21 10:36:44,022
117,True,SELECT COUNT (*) FROM GHOSTS WHERE YEAR BETWEEN 1700 AND 1800,17/09/21 10:36:57,022
118,True,"select min(year), max(year)  from Ghosts",17/09/21 10:39:08,023
119,True,select min(name) from ghosts order by name asc,17/09/21 11:10:33,024
120,True,select min(name) from ghosts order by name asc,17/09/21 11:10:34,024
121,True,SELECT name from ghosts,17/09/21 09:23:27,000
122,True,SELECT name from ghosts,17/09/21 09:58:14,001
123,True,"SELECT name, year from ghosts",17/09/21 09:58:36,002
124,False,"SELECT year WHERE FROM GHOSTS name = ""Sieglinde""",17/09/21 09:59:14,003
125,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",17/09/21 09:59:20,003
126,True,SELECT name FROM ghosts WHERE year > 1800,17/09/21 09:59:51,004
127,False,SELECT name FROM ghosts WHERE year < 1800,17/09/21 10:00:38,005
128,True,SELECT name FROM ghosts WHERE year < 1800 AND year > 1700,17/09/21 10:01:00,005
129,False,SELECT name FROM ghosts SORT BY name,17/09/21 10:01:33,006
130,True,SELECT name FROM ghosts ORDER BY name,17/09/21 10:02:17,006
131,False,SELECT name FORM ghosts ORDER BY year DESC,17/09/21 10:02:49,007
132,False,SELECT name FORM ghosts ORDER BY year ASC,17/09/21 10:02:59,007
133,False,SELECT name FORM ghosts ORDER BY year,17/09/21 10:03:02,007
134,False,SELECT name FROM ghosts ORDER BY year,17/09/21 10:03:10,007
135,True,SELECT name FROM ghosts ORDER BY year DESC,17/09/21 10:03:14,007
136,True,SELECT DISTINCT year FROM ghosts,17/09/21 10:03:46,008
137,False,SELECT * FROM ghosts ORDER BY year,17/09/21 10:05:00,009
138,True,"SELECT * FROM ghosts ORDER BY year, name",17/09/21 10:05:31,009
139,False,SELECT UNIQUE name FROM ghosts WHERE year = 1833,17/09/21 10:06:51,010
140,True,SELECT DISTINCT name FROM ghosts WHERE year = 1833,17/09/21 10:07:32,010
141,True,SELECT * FROM ghosts WHERE year = 1650,17/09/21 10:07:58,011
142,False,SELECT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,17/09/21 10:08:37,012
143,True,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,17/09/21 10:08:53,012
144,False,"SELECT * FROM ghosts WHERE year < 1600 AND year > 1700 ORDER BY year, name",17/09/21 10:10:42,013
145,False,"SELECT * FROM ghosts WHERE year > 1600 AND year < 1700 ORDER BY year, name",17/09/21 10:10:59,013
146,False,"SELECT * FROM ghosts WHERE year > 1600 AND year < 1700 ORDER BY year, name DESC",17/09/21 10:11:44,013
147,True,"SELECT * FROM ghosts WHERE year > 1600 AND year < 1700 ORDER BY year DESC, name",17/09/21 10:12:30,013
148,False,SELECT DISTINCT name WHERE year 1777 ORDER BY name,17/09/21 10:13:14,014
149,False,SELECT DISTINCT name WHERE year = 1777 ORDER BY name,17/09/21 10:13:21,014
150,True,SELECT DISTINCT name FROM ghosts WHERE year = 1777 ORDER BY name,17/09/21 10:13:32,014
151,True,"SELECT * FROM ghosts WHERE name = ""Veronika"" AND year > 1700 AND year < 1800",17/09/21 10:14:26,015
152,False,SELECT name FROM wizards WHERE skill < 4 ORDER BY skill DESC,17/09/21 10:15:56,016
153,True,SELECT name FROM wizards WHERE skill < 4 ORDER BY skill,17/09/21 10:16:05,016
154,False,SELECT COUNT(name) FROM ghosts WHERE year < 1700 AND year > 1600,17/09/21 10:21:24,017
155,False,SELECT DISTINCT COUNT(name) FROM ghosts WHERE year < 1700 AND year > 1600,17/09/21 10:21:44,017
156,False,SELECT DISTINCT name FROM ghosts WHERE year < 1700 AND year > 1600,17/09/21 10:22:09,017
157,False,SELECT DISTINCT COUNT(name) FROM ghosts WHERE year < 1700 AND year > 1600,17/09/21 10:22:21,017
158,True,SELECT COUNT(DISTINCT name) FROM ghosts WHERE year < 1700 AND year > 1600,17/09/21 10:22:41,017
159,False,SELECT MIN (YEAR) FROM GHOSTS WHERE BETWEEN '1700' AND '1800',17/09/21 10:24:14,018
160,True,SELECT MIN (YEAR) FROM GHOSTS WHERE YEAR BETWEEN '1700' AND '1800',17/09/21 10:24:25,018
161,True,"SELECT SUM(murdered) FROM ghosts WHERE name = ""Siegfried""",17/09/21 10:25:39,019
162,False,SELECT year FROM ghosts WHERE year (SELECT MIN(year) FROM ghosts WHERE BETWEEN 1600 AND 1700),17/09/21 10:33:04,020
163,False,SELECT year FROM ghosts WHERE year = (SELECT MIN(year) FROM ghosts WHERE BETWEEN 1600 AND 1700),17/09/21 10:33:14,020
164,False,SELECT year FROM ghosts WHERE year = (SELECT MIN(year) FROM ghosts WHERE year BETWEEN 1600 AND 1700),17/09/21 10:33:24,020
165,True,SELECT year FROM ghosts WHERE year = (SELECT MAX(year) FROM ghosts WHERE year BETWEEN 1600 AND 1700),17/09/21 10:33:37,020
166,False,SELECT COUNT(name) FROM ghosts WHERE murdered <= 2,17/09/21 10:34:53,021
167,True,SELECT COUNT(name) FROM ghosts WHERE murdered >= 2,17/09/21 10:35:15,021
168,True,SELECT COUNT (*) FROM GHOSTS WHERE YEAR BETWEEN 1700 AND 1800,17/09/21 10:36:14,022
169,True,"SELECT MAX(year), MIN(year) FROM ghosts",17/09/21 10:37:57,023
170,True,SELECT name FROM ghosts ORDER BY name LIMIT 1,17/09/21 10:38:59,024
171,True,SELECT COUNT(DISTINCT year) FROM ghosts,17/09/21 10:40:22,025
172,False,"SELECT AREA, SUM (*) FROM WIZARDS GROUP BY AREA",17/09/21 10:41:10,026
173,True,"SELECT AREA, COUNT(*) FROM WIZARDS GROUP BY AREA",17/09/21 10:41:21,026
174,True,"SELECT AREA, SUM(SKILL) FROM WIZARDS GROUP BY AREA",17/09/21 10:41:56,027
175,True,SELECT name FROM wizards WHERE skill < 4,17/09/21 11:02:32,028
176,False,"SELECT areas, COUNT(name) FROM ghosts",17/09/21 11:03:16,029
177,False,"SELECT areas, COUNT(name) FROM wizards",17/09/21 11:03:24,029
178,False,"SELECT area, COUNT(name) FROM wizards",17/09/21 11:03:30,029
179,False,"SELECT area, COUNT(name) FROM wizards",17/09/21 12:05:02,029
180,True,"SELECT area, COUNT(name) FROM wizards GROUP BY area",17/09/21 12:07:26,029
181,False,SELECT area FROM wizards,17/09/21 12:08:20,030
182,True,SELECT name from ghosts,17/09/21 11:49:06,000
183,False,from ghosts SELECT name,17/09/21 11:50:32,001
184,False,from ghosts SELECT name,17/09/21 11:50:36,001
185,True,SELECT name from ghosts,17/09/21 11:50:45,001
186,True,"SELECT name, year from ghosts",18/09/21 16:46:15,002
187,False,"FROM GHOSTS SELECT year WHERE name IS ""Sieglinde""",18/09/21 16:47:12,003
188,False,"FROM GHOSTS WHERE name = ""Sieglinde""",18/09/21 16:47:30,003
189,False,"FROM GHOSTS SELECT year WHERE name = ""Sieglinde""",18/09/21 16:47:44,003
190,False,"FROM GHOSTS SELECT year WHERE name = ""Sieglinde""",18/09/21 16:48:23,003
191,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",18/09/21 16:48:39,003
192,True,SELECT name FROM Ghosts WHERE year >1800,18/09/21 16:50:04,004
193,True,SELECT name FROM Ghosts WHERE year<1800 AND year>1699,18/09/21 16:52:11,005
194,True,select name from ghosts order by name asc,18/09/21 16:53:49,006
195,False,SELECT names FROM ghosts ORDER BY year asc,18/09/21 16:54:30,007
196,False,SELECT name FROM ghosts ORDER BY year asc;,18/09/21 16:56:15,007
197,True,SELECT name FROM ghosts ORDER BY year desc;,18/09/21 16:56:25,007
198,False,SELECT year FROM ghosts DISTINCT,18/09/21 16:57:18,008
199,False,SELECT year FROM ghosts UNIQUE,18/09/21 16:57:24,008
200,False,SELECT year FROM ghosts ONLY,18/09/21 16:58:30,008
201,False,SELECT year FROM ghosts ONLY DISTINCT,18/09/21 16:58:45,008
202,False,SELECT year FROM ghosts ONLY UNIQUE,18/09/21 16:58:49,008
203,False,SELECT year FROM ghosts UNIQUE ONLY,18/09/21 16:58:52,008
204,False,SELECT year FROM ghosts ONLY,18/09/21 16:58:55,008
205,False,SELECT year FROM ghosts,18/09/21 16:59:10,008
206,True,SELECT DISTINCT year FROM ghosts,18/09/21 16:59:32,008
207,False,SELECT * FROM ghosts ORDER BY year asc,18/09/21 17:00:56,009
208,False,SELECT * FROM ghosts ORDER BY year asc AND ORDER BY name asc,18/09/21 17:01:32,009
209,False,SELECT * FROM ghosts ORDER BY year asc AND ORDER BY name asc,18/09/21 17:01:32,009
210,False,SELECT * FROM ghosts ORDER BY year asc,18/09/21 17:01:44,009
211,False,"SELECT * FROM ghosts ORDER BY year ASC, name,asc",18/09/21 17:02:06,009
212,True,"SELECT * FROM ghosts ORDER BY year ASC, name asc",18/09/21 17:02:14,009
213,True,SELECT DISTINCT name FROM Ghosts WHERE year = 1833,18/09/21 17:04:32,010
214,True,SELECT DISTINCT name FROM Ghosts WHERE year ='1833',18/09/21 17:04:50,010
215,True,SELECT * FROM Ghosts WHERE year = '1650',18/09/21 17:05:47,011
216,True,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,18/09/21 17:07:02,012
217,False,SELECT * FROM ghosts WHERE year<1800 AND year<1700 ORDER BY name asc;,18/09/21 17:11:52,013
218,True,"SELECT * FROM ghosts WHERE year<1800 AND year<1700 ORDER BY year desc, name asc;",18/09/21 17:12:44,013
219,False,select distinct name from ghost where year = 1777 order by name asc,18/09/21 17:13:56,014
220,True,select distinct name from ghosts where year = 1777 order by name asc,18/09/21 17:14:02,014
221,True,SELECT * FROM Ghosts WHERE name='Veronika' AND year between 1700 AND 1800;,18/09/21 17:15:40,015
222,True,select name from wizards where skill<4 order by skill asc;,18/09/21 17:17:09,016
223,True,SELECT count(DISTINCT name) from ghosts where year between 1600 AND 1700;,18/09/21 17:18:40,017
224,True,SELECT MIN (YEAR) FROM GHOSTS WHERE YEAR BETWEEN '1700' AND '1800',18/09/21 17:24:17,018
225,True,SELECT sum(murdered) FROM Ghosts WHERE name='Siegfried';,18/09/21 17:26:13,019
226,True,SELECT max(year) FROM Ghosts WHERE year BETWEEN 1600 AND 1700;,18/09/21 17:27:23,020
227,True,SELECT count(name) FROM ghosts WHERE murdered >=2;,18/09/21 17:28:26,021
228,True,SELECT COUNT (*) FROM GHOSTS WHERE YEAR BETWEEN 1700 AND 1800,18/09/21 17:29:18,022
229,True,"SELECT min(year), max(year) FROM ghosts;",18/09/21 17:30:08,023
230,False,SELECT name from ghosts where,18/09/21 17:32:49,024
231,False,SELECT top name from ghosts,18/09/21 17:34:43,024
232,False,SELECT TOP name from ghosts,18/09/21 17:34:50,024
233,True,SELECT min(name) from ghosts,18/09/21 17:35:22,024
234,True,SELECT min(name) from ghosts order by name asc;,18/09/21 17:35:44,024
235,True,SELECT count(DISTINCT year) FROM Ghosts,18/09/21 17:37:04,025
236,False,"SELECT AREA, SUM (*) FROM WIZARDS GROUP BY AREA",18/09/21 17:38:34,026
237,True,"SELECT AREA, COUNT(*) FROM WIZARDS GROUP BY AREA",18/09/21 17:38:44,026
238,True,"SELECT AREA, SUM(SKILL) FROM WIZARDS GROUP BY AREA",18/09/21 17:39:34,027
239,False,SELECT name FROM Ghosts WHERE skill<4 ORDER BY skill asc;,18/09/21 17:40:54,028
240,True,SELECT name FROM Wizards WHERE skill<4 ORDER BY skill asc;,18/09/21 17:41:01,028
241,True,"SELECT area, count(name) FROM Wizards GROUP BY area;",18/09/21 17:42:24,029
242,True,"SELECT area, count(*) FROM Wizards GROUP BY area;",18/09/21 17:42:40,029
243,True,"SELECT area, max(skill) FROM Wizards GROUP BY area;",18/09/21 17:43:46,030
244,False,"SELECT area, count(*) FROM Wizards WHERE skill=5;",18/09/21 17:44:56,031
245,True,"SELECT area, count(*) FROM Wizards WHERE skill=5 GROUP BY area;",18/09/21 17:47:20,031
246,True,SELECT AREA FROM WIZARDS WHERE SKILL < 3 GROUP BY AREA,18/09/21 17:48:40,032
247,False,select area where area = unique,18/09/21 17:56:50,033
248,False,select area where area = 'Kumpula',18/09/21 17:58:48,033
249,False,select area where,18/09/21 17:59:07,033
250,False,select area where,18/09/21 17:59:08,033
251,False,select area from wizards group by area,18/09/21 18:02:07,033
252,True,select area from wizards group by area having count(area) = 1,18/09/21 18:03:16,033
253,True,"SELECT g.name, p.name FROM ghosts g, places p WHERE g.place_id == p.id",18/09/21 18:22:54,034
254,False,"SELECT p.name FROM GHOSTS g, PLACES p WHERE p.id = g.place_id AND p.name = ""Arthur""",18/09/21 18:24:25,035
255,True,"SELECT p.name FROM GHOSTS g, PLACES p WHERE p.id = g.place_id AND g.name = ""Arthur""",18/09/21 18:24:31,035
256,False,"SELECT g.name FROM Ghosts g, Places p WHERE g.place_id == 2;",18/09/21 18:26:13,036
257,False,"SELECT DISTINCT g.name FROM Ghosts g, Places p WHERE g.place_id == 2;",18/09/21 18:26:28,036
258,False,"SELECT DISTINCT g.name FROM Ghosts g, Places p WHERE g.place_name == 'forest';",18/09/21 18:27:10,036
259,False,"SELECT DISTINCT g.name FROM Ghosts g, Places p WHERE p.name == 'forest';",18/09/21 18:27:28,036
260,False,"SELECT DISTINCT g.name FROM Ghosts g, Places p WHERE g.place_id == p.id having p.name == 'forest';",18/09/21 18:29:33,036
261,False,"SELECT DISTINCT g.name FROM Ghosts g, Places p WHERE g.place_id == p.id GROUP BY p.name HAVING p.name == 'forest';",18/09/21 18:30:38,036
262,False,"SELECT g.name FROM Ghosts g, Places p WHERE g.place_id == p.id GROUP BY p.name HAVING p.name == 'forest';",18/09/21 18:31:08,036
263,True,"SELECT g.name FROM Ghosts g, Places p WHERE g.place_id == p.id GROUP BY p.name , g.name HAVING p.name == 'forest';",18/09/21 18:31:59,036
264,True,"SELECT g.name FROM Ghosts g, Places p WHERE g.place_id = p.id AND p.name = 'forest';",18/09/21 18:32:37,036
265,True,"SELECT g.name, p.name FROM Hauntings  h, PLACES p, Ghosts g WHERE g.id = h.ghost_id AND p.id = h.place_id",18/09/21 18:34:51,037
266,True,"SELECT p.name FROM Ghosts g, Places p, Hauntings h WHERE g.name='Desiree' AND g.id = h.ghost_id AND p.id = h.place_id;",18/09/21 18:39:49,038
267,True,"Select g.name FROM Ghosts g, Places p, Hauntings h WHERE p.name = 'forest' AND p.id = h.place_id AND g.id = h.ghost_id;",18/09/21 18:42:44,039
268,False,"SELECT w.name FROM Wizards w, Lessons l WHERE w.name = 'ANNA' AND w.id = l.teacher_id",18/09/21 18:48:46,040
269,False,"SELECT w.name FROM Wizards w, Lessons l WHERE w.name = 'ANNA' AND w.id = l.teacher_id AND w.id = l.pupil_id",18/09/21 18:49:44,040
270,False,"SELECT w.name FROM Wizards w, Lessons l WHERE w.name = 'ANNA' AND w.id == l.teacher_id AND w.id == l.pupil_id;",18/09/21 18:51:07,040
271,False,"SELECT w.name FROM Wizards w, Lessons l WHERE w.name = 'ANNA' AND w.id == l.teacher_id AND w.id == l.pupil_id;",18/09/21 18:51:15,040
272,True,"SELECT w.name FROM Wizards w, Lessons l WHERE l.teacher_id = (SELECT w.id From Wizards w WHERE w.name = 'Anna') AND w.id == l.pupil_id;",18/09/21 18:53:16,040
273,False,"SELECT w.name FROM Wizards w, Lessons l WHERE l.pupil_id (SELECT w.name FROM Wizards w WHERE w.name = 'Bingo') AND l.teacher_id = w.id;",18/09/21 19:38:11,041
274,False,"SELECT w.name FROM Wizards w, Lessons l WHERE l.pupil_id = (SELECT w.name FROM Wizards w WHERE w.name = 'Bingo') AND l.teacher_id = w.id;",18/09/21 19:38:41,041
275,True,"SELECT w.name FROM Wizards w, Lessons l WHERE l.pupil_id = (SELECT w.id FROM Wizards w WHERE w.name = 'Bingo') AND l.teacher_id = w.id;",18/09/21 19:39:35,041
276,True,SELECT name from ghosts,17/09/21 09:31:33,000
277,False,SELECT name FROM ghost,17/09/21 09:33:14,001
278,True,SELECT name from ghosts,17/09/21 09:33:31,001
279,True,"SELECT name, year from ghosts",17/09/21 09:33:48,002
280,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",17/09/21 09:34:07,003
281,True,SELECT name from Ghosts WHERE year > 1800,17/09/21 09:34:39,004
282,True,SELECT name FROM Ghosts WHERE year > 1700 AND year < 1800,17/09/21 09:35:33,005
283,True,SELECT name FROM Ghosts ORDER BY name ASC,17/09/21 09:36:11,006
284,True,SELECT name FROM Ghosts ORDER BY year DESC,17/09/21 09:37:03,007
285,True,SELECT DISTINCT year FROM ghosts,17/09/21 09:37:25,008
286,True,"SELECT * FROM Ghosts ORDER BY year ASC, name ASC",17/09/21 09:38:29,009
287,True,SELECT DISTINCT name FROM Ghosts WHERE year = 1833,17/09/21 09:39:30,010
288,True,SELECT * FROM Ghosts WHERE year = 1650,17/09/21 09:40:06,011
289,False,SELECT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME,17/09/21 09:41:17,012
290,False,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME,17/09/21 09:41:26,012
291,False,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME ASC,17/09/21 09:41:33,012
292,True,SELECT DISTINCT NAME FROM Ghosts WHERE YEAR='1650' ORDER BY NAME DESC,17/09/21 09:41:46,012
293,True,"SELECT * FROM Ghosts WHERE year >= 1600 AND year < 1700 ORDER BY year DESC, Name",17/09/21 11:08:33,013
294,True,SELECT DISTINCT name FROM Ghosts WHERE year = 1777 ORDER BY Name,17/09/21 11:09:14,014
295,False,SELECT * FROM Ghosts WHERE (year >= 1700 AND year < 1800) AND name = Veronika,17/09/21 11:10:15,015
296,True,"SELECT * FROM Ghosts WHERE (year >= 1700 AND year < 1800) AND name = ""Veronika""",17/09/21 11:16:47,015
297,True,SELECT Name FROM Wizards WHERE skill < 4 ORDER BY skill,17/09/21 11:17:50,016
298,True,SELECT COUNT(DISTINCT name) FROM Ghosts WHERE year >= 1600 AND year < 1700,17/09/21 11:18:43,017
